App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version
G-Centrick,"support@classplus.co
Privacy Policy",Education Galaxy MediaEducation,Completely free,Users Interact,"May 28, 2020","Rated for 3+
Learn More","5,000+",516 total,Education Galaxy Media,4.5,4.2 and up,30M,1.0.98.5
J & B CAREER POINT,"support@classplus.co
Privacy Policy",Education Kevin MediaEducation,Completely free,Users Interact,"June 25, 2020","Rated for 3+
Learn More",100+,23 total,Education Kevin Media,4.8,4.2 and up,29M,1.0.99.7
K-SECRET,"Visit website
contact@aj-int.com
Privacy Policy",K-SECRET Co.Shopping,Completely free,No Interactive Elements,"May 26, 2020","Rated for 3+
Learn More","10,000+",32 total,K-SECRET Co.,3.9,5.0 and up,16M,1.12.4
HSPA+ Tweaker (3G booster),"Visit website
admin@brothers-rovers.ru
Russian Federation, Baymak, Checkmareva, 1, 4",Brothers RoversTools,₹160.00 per item,Digital Purchases,"December 5, 2017","Rated for 3+
Learn More","5,000,000+","112,926 total",Brothers Rovers,4.0,2.3 and up,3.9M,3.1 Release b2
350+ C Programming Examples,lingarajtechhub@gmail.com,LINGARAJ SENAPATIEducation,Completely free,No Interactive Elements,"October 22, 2018","Rated for 3+
Learn More","10,000+",72 total,LINGARAJ SENAPATI,4.5,5.0 and up,5.4M,3.0.0
D Letter Wallpaper,"Visit website
noblenatalien@gmail.com",CreativeDesignsPersonalization,Completely free,No Interactive Elements,"December 30, 2019","Rated for 3+
Learn More","5,000+",23 total,CreativeDesigns,4.4,4.1 and up,3.4M,2.0
M Letter Wallpaper,"Visit website
noblenatalien@gmail.com",CreativeDesignsArt & Design,Completely free,No Interactive Elements,"January 4, 2020","Rated for 3+
Learn More","10,000+",46 total,CreativeDesigns,3.8,4.1 and up,3.5M,1.0
R Letter Wallpaper,"Visit website
noblenatalien@gmail.com",CreativeDesignsPersonalization,Completely free,No Interactive Elements,"January 1, 2020","Rated for 3+
Learn More","10,000+",54 total,CreativeDesigns,4.3,4.1 and up,3.5M,3.0
S Letter Wallpaper,"Visit website
noblenatalien@gmail.com",CreativeDesignsArt & Design,Completely free,No Interactive Elements,"December 30, 2019","Rated for 3+
Learn More","10,000+",78 total,CreativeDesigns,4.1,4.1 and up,3.5M,2.0
Hello English: Learn English,"Visit website
contact@culturealley.com
Privacy Policy
Intap Labs Pvt Ltd. S.B. One, J.L.N. Marg, Bapu Nagar, Jaipur 302015 India",Culture AlleyEducation,"₹10.00 - ₹21,600.00 per item",Digital Purchases,"June 26, 2020","Rated for 3+
Learn More","10,000,000+","880,730 total",Culture Alley,4.6,Varies with device,Varies with device,Varies with device
Red Ball 4,"Visit website
support@fdg-entertainment.com
Privacy Policy
Romanstr. 7-9 80639 Munich",FDG Entertainment GmbH & Co.KGArcade,₹120.00 per item,No Interactive Elements,"June 26, 2020","Rated for 3+
Learn More","100,000,000+","2,030,774 total",FDG Entertainment GmbH & Co.KG,4.4,4.1 and up,53M,1.4.18
R Programming Tutorial,"nitin77.prajapati@gmail.com
Privacy Policy
Bvn",Health Fitness and TutorialsEducation,Completely free,No Interactive Elements,"February 24, 2020","Rated for 3+
Learn More",100+,0,Health Fitness and Tutorials,-1,4.0 and up,2.8M,1.2
Smiling-X Corp: Escape from the Horror Studio,"Visit website
media@indiefist.com
Privacy Policy
46006 Valencia",IndieFistArcade,₹110.00 - ₹320.00 per item,In-Game Purchases,"April 25, 2020","Rated for 12+
Horror
Learn More","1,000,000+","9,114 total",IndieFist,4.0,4.4 and up,53M,1.7
Smiling-X 2: The Resistance survival in subway.,"Visit website
media@indiefist.com
Privacy Policy
46006 Valencia",IndieFistArcade,₹240.00 - ₹340.00 per item,In-Game Purchases,"June 13, 2020","Rated for 7+
Mild Violence, Fear
Learn More","100,000+","2,171 total",IndieFist,4.3,4.4 and up,90M,1.4.0
Z Nation,"massivegamestudio0806@gmail.com
Ilsandong-gu, Goyang-si, Gyeonggi-do, Republic of Korea",Massive Game SAction,"₹70.00 - ₹2,150.00 per item",No Interactive Elements,"December 22, 2019","Rated for 7+
Mild Violence, Fear
Learn More","1,000+",10 total,Massive Game S,2.1,5.0 and up,36M,2.21
M-Tutor,"Visit website
support@m-tutor.com
Privacy Policy
No. 12, AH Block 3rd Street Anna Nagar, Chennai -600040 India",Mobile Tutor Pvt LtdEducation,Completely free,No Interactive Elements,"June 17, 2020","Rated for 3+
Learn More","10,000+",773 total,Mobile Tutor Pvt Ltd,2.5,6.0 and up,20M,3.6.1
Fantastic Chefs: Match 'n Cook,"Visit website
support@99games.in
Privacy Policy
Door No. 3-62B, First Floor, Robosoft Campus, 217, NH 66, Santhekatte, Udupi - 576105",99GamesPuzzle,"₹19.00 - ₹19,999.00 per item",Digital Purchases,"April 3, 2019","Rated for 3+
Learn More","1,000,000+","25,873 total",99Games,4.6,4.1 and up,94M,1.8.2
Offroad Car Q,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Oppana GamesSimulation,Completely free,No Interactive Elements,"August 4, 2016","Rated for 3+
Learn More","5,000,000+","27,477 total",Oppana Games,4.1,2.3.3 and up,40M,1.0.2
Offroad Car X,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Oppana GamesSimulation,Completely free,No Interactive Elements,"November 16, 2016","Rated for 3+
Learn More","1,000,000+","12,283 total",Oppana Games,4.0,2.3.3 and up,80M,2.6
Gt-r Car Simulator,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Oppana GamesSimulation,"₹75.00 - ₹6,400.00 per item","Users Interact, In-Game Purchases","March 25, 2020","Rated for 16+
Strong Violence
Learn More","1,000,000+","5,206 total",Oppana Games,4.1,4.1 and up,89M,1.5
Offroad G-Class,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Oppana GamesSimulation,"₹80.00 - ₹13,100.00 per item",Digital Purchases,"April 8, 2020","Rated for 3+
Learn More","5,000,000+","33,367 total",Oppana Games,4.2,4.1 and up,84M,1.26
Offroad Car G,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Oppana GamesSimulation,Completely free,No Interactive Elements,"July 12, 2016","Rated for 3+
Learn More","10,000,000+","76,300 total",Oppana Games,4.1,2.3.3 and up,37M,1
Offroad Car H,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Oppana GamesSimulation,"₹70.00 - ₹7,400.00 per item",Digital Purchases,"October 6, 2017","Rated for 3+
Learn More","500,000+","2,512 total",Oppana Games,3.7,2.3 and up,87M,1.4
Offroad Pickup Truck F,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Oppana GamesSimulation,"₹65.00 - ₹11,800.00 per item",Digital Purchases,"January 22, 2020","Rated for 3+
Learn More","1,000,000+","7,787 total",Oppana Games,3.9,4.1 and up,59M,1.12
Offroad Pickup Truck R,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Oppana GamesSimulation,"₹65.00 - ₹9,800.00 per item",Digital Purchases,"July 14, 2017","Rated for 3+
Learn More","1,000,000+","7,414 total",Oppana Games,4.0,2.3 and up,96M,1.4
Awareness by J.Krishnamurti,"Visit website
admin@ipal0.win
Ontario, Canada",PalBooks & Reference,Completely free,No Interactive Elements,"March 13, 2018","Rated for 3+
Learn More","5,000+",82 total,Pal,4.6,4.0.3 and up,2.1M,5
Kids Broken Party,"Visit website
hippo.kidsgames@gmail.com
Privacy Policy
Paphos Cyprus",Hippo Kids GamesCasualEducation,₹150.00 per item,No Interactive Elements,"June 12, 2020","Rated for 3+
Learn More","1,000,000+","2,587 total",Hippo Kids Games,4.4,4.2 and up,54M,1.1.3
GT-R R35 Drift Simulator,"Visit website
support@processgames.org
Privacy Policy
İstanbul/Turkey",Process GamesSimulationAction & Adventure,Completely free,No Interactive Elements,"December 17, 2019","Rated for 3+
Learn More","500,000+","2,797 total",Process Games,3.8,4.1 and up,54M,1.5
"Pi Music Player - Free Music Player, YouTube Music","Visit website
support@100pilabs.com
Privacy Policy
No. 2283, Ground Floor, 14th A Main, HAL 2nd Stage, Bangalore, India",Musicophilia - Free Music AppsMusic & Audio,₹25.00 - ₹69.00 per item,"Users Interact, In-App Purchases","June 18, 2020","Rated for 12+
Violence, Mild Swearing
Learn More","10,000,000+","1,025,896 total",Musicophilia - Free Music Apps,4.8,Varies with device,Varies with device,Varies with device
Ice Cream Inc.,"contact@tap-nation.io
Privacy Policy
9 rue anatole de la forge, 75017 Paris",TapNationCasual,₹320.00 per item,In-Game Purchases,"January 31, 2020","Rated for 3+
Learn More","10,000,000+","144,667 total",TapNation,4.0,5.0 and up,79M,1.0.15
S Letter Wallpaper,"wallpapercutez@gmail.com
Privacy Policy",Wallpaper CutezLifestyle,Completely free,Users Interact,"October 28, 2019","Rated for 3+
Learn More","100,000+",81 total,Wallpaper Cutez,4.5,4.1 and up,3.6M,1.2
歡唱K歌王 - 練歌聽歌神器,"Visit website
lineupdesignhouse@gmail.com
Privacy Policy",Line up Design HouseVideo Players & Editors,Completely free,No Interactive Elements,"May 29, 2020","Rated for 3+
Learn More","1,000,000+","14,830 total",Line up Design House,4.5,4.0 and up,19M,9.9
"S Letter DP - Wallpapers , Images And Photos","shanikumarsagar97@gmail.com
Privacy Policy",Sagar ZoneArt & Design,Completely free,No Interactive Elements,"June 22, 2020","Rated for 3+
Learn More","10,000+",10 total,Sagar Zone,3.9,5.0 and up,8.0M,1.5
"UC Browser- Free & Fast Video Downloader, News App","Visit website
help@idc.ucweb.com
Privacy Policy",UCWeb Singapore Pte. Ltd.Communication,Completely free,Unrestricted Internet,"June 24, 2020","Rated for 12+
Sex
Learn More","500,000,000+","21,535,519 total",UCWeb Singapore Pte. Ltd.,3.9,4.0 and up,Varies with device,Varies with device
X PLAYER,"javedkhankhastech@gmail.com
House Nof176 T & T Colony Haripur",XpooSoft-IEntertainment,Completely free,No Interactive Elements,"June 20, 2020","Rated for 3+
Learn More","100,000+",492 total,XpooSoft-I,4.4,4.2 and up,4.5M,7.5
Aaj Tak News – AajTak Live TV,"Visit website
indiatodayapps@gmail.com
Privacy Policy
FC-8, Sector-16A Film City, Noida, Uttar Pradesh 201301",TV Today Network LimitedNews & Magazines,Completely free,No Interactive Elements,"January 10, 2019","Rated for 3+
Learn More","100,000+",0,TV Today Network Limited,-1,5.0 and up,14M,4.1.0
J. Balvin High Quality Songs = Listen Offline,abdapp70@gmail.com,abdappMusic & Audio,Completely free,No Interactive Elements,"March 5, 2020","Rated for 16+
Strong Language
Learn More",50+,0,abdapp,-1,4.1 and up,31M,1.0
"H-app-Y, Health App For You","Visit website
adityabirlahealth@gmail.com
Privacy Policy",Aditya Birla HealthBusiness,Completely free,No Interactive Elements,"June 10, 2020","Rated for 3+
Learn More","10,000+",225 total,Aditya Birla Health,3.6,4.4 and up,74M,1.3.0
Adobe Lightroom - Photo Editor & Pro Camera,"Visit website
LrAndroid-Feedback@adobe.com
Privacy Policy
Adobe Systems Incorporated 345 Park Avenue San Jose, CA 95110-2704",AdobePhotography,"₹170.00 - ₹4,950.00 per item","Users Interact, Digital Purchases","June 15, 2020","Rated for 3+
Learn More","100,000,000+","678,126 total",Adobe,4.4,5.0 and up,Varies with device,5.3
"Adobe Acrobat Reader: PDF Viewer, Editor & Creator","Visit website
acrobat-android-support@adobe.com
Privacy Policy
Adobe Systems Incorporated 345 Park Avenue San Jose, CA 95110-2704",AdobeProductivity,"₹119.59 - ₹6,043.90 per item",Digital Purchases,"June 25, 2020","Rated for 3+
Learn More","500,000,000+","3,845,199 total",Adobe,4.6,5.0 and up,218M,20.5.0.13673
SketchBook - draw and paint,"Visit website
sketchbook.help@autodesk.com
Privacy Policy
111 McInnis Parkway San Rafael, California 94903",Autodesk Inc.Entertainment,Completely free,Digital Purchases,"March 16, 2020","Rated for 3+
Learn More","10,000,000+","357,954 total",Autodesk Inc.,4.2,Varies with device,Varies with device,Varies with device
"VFly-Status Videos, Status Maker, New Video Status","Visit website
vflyteam@gmail.com
Privacy Policy
23rd Floor - Floor 39, Building B-1, Wanda Plaza, No. 368 Xingnan Road, Panyu District, Guangzhou",VflyteamTools,"₹220.00 - ₹24,900.00 per item",No Interactive Elements,"June 23, 2020","Rated for 12+
Sexual Innuendo
Learn More","10,000,000+","50,084 total",Vflyteam,4.1,4.4 and up,Varies with device,3.4.1
Extreme Car Driving Simulator,"Visit website
support@axesinmotion.com
Privacy Policy
Horizonte, 1, 2nd floor 41927 Mairena del Aljarafe Sevilla, ESPAÑA",AxesInMotion RacingRacing,"₹50.00 - ₹7,500.00 per item",Digital Purchases,"June 8, 2020","Rated for 3+
Learn More","100,000,000+","3,033,286 total",AxesInMotion Racing,4.2,4.1 and up,53M,Varies with device
"Dainik Bhaskar: Hindi Epaper, Local & Video News","Visit website
dainikapp@dainikbhaskar.com
Privacy Policy
Dwarka Sadan, 6 Press Complex, M.P. Nagar, Zone-1, Bhopal, Madhya Pradesh.",Dainik Bhaskar GroupNews & Magazines,Completely free,Users Interact,"June 26, 2020","Rated for 3+
Learn More","10,000,000+","210,413 total",Dainik Bhaskar Group,4.1,5.0 and up,6.1M,7.2.2
Allwatch H,"Visit website
support@allview.ro
Privacy Policy",Allview MobileHealth & Fitness,Completely free,No Interactive Elements,"June 4, 2020","Rated for 3+
Learn More","1,000+",31 total,Allview Mobile,2.9,4.4 and up,56M,1.2.4
Aloha Browser - private fast browser with free VPN,"Visit website
support@alohabrowser.com
Privacy Policy
Arch. Makariou III, 132 Sagro Building 3021, Limassol, Cyprus",Aloha MobileTools,"₹70.00 - ₹2,499.00 per item",Unrestricted Internet,"June 22, 2020","Rated for 3+
Learn More","10,000,000+","176,445 total",Aloha Mobile,4.5,5.0 and up,117M,2.19.3
Aloha Browser Lite - Private browser and free VPN,"Visit website
android@alohabrowser.com
Privacy Policy
Arch. Makariou III, 132 Sagro Building 3021, Limassol, Cyprus",Aloha MobileCommunication,Completely free,Unrestricted Internet,"March 12, 2020","Rated for 3+
Learn More","1,000,000+","12,537 total",Aloha Mobile,4.2,5.0 and up,12M,1.5.0
Prime Video - Android TV,"Visit website
feedback-amazon-app-android@amazon.com
Privacy Policy
Amazon Mobile LLC 500 9th Avenue N, Seattle, WA 98109",Amazon Mobile LLCEntertainment,Completely free,Digital Purchases,"June 26, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","10,000,000+",180 total,Amazon Mobile LLC,1.6,5.0 and up,40M,5.2.17-googleplay-armv7a
Amazon A to Z,"Visit website
atozfeedback@amazon.com
Privacy Policy
Amazon Mobile LLC 500 9th Avenue N, Seattle, WA 98109",Amazon Mobile LLCBusiness,Completely free,No Interactive Elements,"April 12, 2020","Rated for 3+
Learn More","500,000+","2,772 total",Amazon Mobile LLC,4.0,7.0 and up,25M,2.0.0
Amazon Prime Video,"Visit website
aiv-android-feedback@amazon.com
Privacy Policy
Amazon Mobile LLC 500 9th Avenue N, Seattle, WA 98109",Amazon Mobile LLCEntertainment,"₹65.00 - ₹1,000.00 per item",Digital Purchases,"June 26, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","1,759,857 total",Amazon Mobile LLC,4.3,Varies with device,Varies with device,Varies with device
iLauncher OS13-Phone X style,"Visit website
support@amberweather.com
Privacy Policy
RM 1401, 14/F WORLD COMMERCE CTR HARBOUR CITY 7-11 CANTON RD TST KLN HONG KONG",Weather Widget Theme Dev TeamPersonalization,Completely free,No Interactive Elements,"June 10, 2020","Rated for 3+
Learn More","5,000,000+","22,936 total",Weather Widget Theme Dev Team,4.1,4.1 and up,44M,4.7.0.693_50134
OS12 Launcher for Phone X,"Visit website
support@amberweather.com
Privacy Policy
RM 1401, 14/F WORLD COMMERCE CTR HARBOUR CITY 7-11 CANTON RD TST KLN HONG KONG",Weather Widget Theme Dev TeamPersonalization,Completely free,No Interactive Elements,"May 13, 2020","Rated for 16+
Use of Alcohol/Tobacco
Learn More","1,000,000+","4,373 total",Weather Widget Theme Dev Team,4.1,4.1 and up,44M,4.7.0.665_50124
M 10 Launcher MUI Theme & Icon Pack,"Visit website
support@amberweather.com
Privacy Policy
RM 1401, 14/F WORLD COMMERCE CTR HARBOUR CITY 7-11 CANTON RD TST KLN HONG KONG",Weather Widget Theme Dev TeamPersonalization,Completely free,No Interactive Elements,"June 8, 2020","Rated for 16+
Use of Alcohol/Tobacco
Learn More","100,000+","1,026 total",Weather Widget Theme Dev Team,4.1,4.1 and up,43M,4.7.0.693_50134
ADI-P,"Visit website
Adi-P@amiad.com
Privacy Policy",Amiad Water SystemsBusiness,Completely free,No Interactive Elements,"February 9, 2020","Rated for 3+
Learn More","1,000+",22 total,Amiad Water Systems,4.6,4.4 and up,20M,2.2
