App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version,Min Price,Max Price,Age,Month,Day,Year,Min Downloads,Minimum Android Version,Interactive Element Score
Vinkle - Music Video Editor,"vinklebhb@gmail.com
Privacy Policy
香港九龍長沙灣長沙灣道788號罗氏商业广场6楼603",Video Players & Editors,"₹85.00 - ₹4,550.00 per item",In-App Purchases,"['June', '22', '', '2020']","Rated for 7+
Fear
Learn More","10,000,000+",404906,BIG HEAD BROTHERS,4.2,4.4 and up,49.0,1.0,85.0,4550.0,7,6,22,2020,10000000,4.4,3
U Pay,umcaindia@gmail.com,Business,$0 - $0 per item,No Interactive Elements,"['March', '12', '', '2020']","Rated for 3+
Learn More","1,000+",35,UMCA India,4.2,4.1 and up,4.8,1.0,0.0,0.0,3,3,12,2020,1000,4.1,0
F-app,aqagamesinfo@gmail.com,Entertainment,$0 - $0 per item,Users Interact,"['August', '27', '', '2019']","Rated for 18+
Extreme Violence
Learn More","10,000+",84,AQA,3.8,2.1 and up,3.3,1.0,0.0,0.0,18,8,27,2019,10000,2.1,1
S Letter Video Status: S name status,"nuttjames927@gmail.com
Privacy Policy",Lifestyle,$0 - $0 per item,No Interactive Elements,"['September', '10', '', '2019']","Rated for 3+
Learn More","5,000+",6,naltar,4.3,4.0.3 and up,5.2,1.0,0.0,0.0,3,9,10,2019,5000,4.0.3,0
J Passport,"Visit website
support@jpassport.asia
Privacy Policy",Lifestyle,$0 - $0 per item,No Interactive Elements,"['June', '9', '', '2020']","Rated for 3+
Learn More","10,000+",156,Reginaa Private Limited,2.6,4.1 and up,45.0,5.0,0.0,0.0,3,6,9,2020,10000,4.1,0
Lep's World 2 🍀🍀,"Visit website
support@LepsWorld2.com
Privacy Policy
Broetzenbergerstrasse 17-19/4/3 2201 Gerasdorf Austria",Arcade,"₹52.98 - ₹7,100.00 per item","Users Interact, In-Game Purchases","['September', '24', '', '2019']","Rated for 12+
Horror
Learn More","100,000,000+",994917,nerByte GmbH,4.3,4.1 and up,37.0,3.0,52.98,7100.0,12,9,24,2019,100000000,4.1,4
Lep's World Z,"Visit website
support@zombieworldgame.com
Privacy Policy
Broetzenbergerstrasse 17-19/4/3 2201 Gerasdorf Austria",Adventure,"₹80.00 - ₹7,100.00 per item","Users Interact, Digital Purchases","['June', '25', '', '2020']","Rated for 12+
Moderate Violence, Horror
Learn More","5,000,000+",23582,nerByte GmbH,4.2,4.1 and up,48.0,2.0,80.0,7100.0,12,6,25,2020,5000000,4.1,3
Lep's World 🍀,"Visit website
support@LepsWorld2.com
Privacy Policy
Broetzenbergerstrasse 17-19/4/3 2201 Gerasdorf Austria",Arcade,"₹57.31 - ₹7,100.00 per item","Users Interact, Digital Purchases","['September', '30', '', '2019']","Rated for 12+
Horror
Learn More","100,000,000+",928413,nerByte GmbH,4.3,4.1 and up,-1.0,4.0,57.31,7100.0,12,9,30,2019,100000000,4.1,3
triple j,"Visit website
radiodigital@abc.net.au
Privacy Policy
700 Harris Street Ultimo NSW 2007",Music & Audio,$0 - $0 per item,No Interactive Elements,"['June', '23', '', '2020']","Rated for 16+
Strong Language
Learn More","500,000+",6417,Australian Broadcasting Corporation,4.7,5.0 and up,25.0,2.0,0.0,0.0,16,6,23,2020,500000,5.0,0
N-UM,"esed.alih@gmail.com
Privacy Policy",Education,$0 - $0 per item,No Interactive Elements,"['December', '24', '', '2019']","Rated for 3+
Learn More","1,000+",131,Raif Huseinović,5.0,4.3 and up,6.0,1.0,0.0,0.0,3,12,24,2019,1000,4.3,0
U-App,"contato@dialog.ci
Privacy Policy",Communication,$0 - $0 per item,"Users Interact, Shares Location","['December', '19', '', '2019']","Rated for 3+
Learn More","1,000+",17,CriticalMass,4.4,4.1 and up,-1.0,5.0,0.0,0.0,3,12,19,2019,1000,4.1,5
Bricks Breaker - n Balls,"puzzle2brain@gmail.com
Privacy Policy",Arcade,$0 - $0 per item,No Interactive Elements,"['March', '18', '', '2020']","Rated for 3+
Learn More","1,000+",13,Puzzle Brain Games,3.5,4.1 and up,32.0,1.0,0.0,0.0,3,3,18,2020,1000,4.1,0
Bubble Shooter,"Visit website
supportoriginal@ilyon.net
Privacy Policy
Lev Haarets Rosh Haayin",Casual,"₹34.99 - ₹8,300.00 per item",Digital Purchases,"['June', '25', '', '2020']","Rated for 3+
Learn More","100,000,000+",908866,Bubble Shooter,4.1,4.1 and up,25.0,11.0,34.99,8300.0,3,6,25,2020,100000000,4.1,2
Learn C Programming,"Visit website
hello@programminghub.io
Privacy Policy
RightSol PTE LTD WeWork 1161 Mission St San Francisco, CA 94103",Education,"₹490.00 - ₹11,700.00 per item",Users Interact,"['March', '27', '', '2020']","Rated for 3+
Learn More","1,000,000+",30165,Coding and Programming,4.5,Varies with device,-1.0,-1.0,490.0,11700.0,3,3,27,2020,1000000,-1,1
F-Car,"454599023@qq.com
Privacy Policy",Tools,$0 - $0 per item,No Interactive Elements,"['March', '16', '', '2019']","Rated for 3+
Learn More","10,000+",290,Gavin 558,2.4,4.4 and up,8.2,1.0,0.0,0.0,3,3,16,2019,10000,4.4,0
U-Abo,"Visit website
appstore@blt.ch
Privacy Policy",Travel & Local,$0 - $0 per item,Digital Purchases,"['May', '20', '', '2020']","Rated for 3+
Learn More","10,000+",1284,BLT,4.7,4.4 and up,15.0,3.0,0.0,0.0,3,5,20,2020,10000,4.4,2
Chromecast Z - TV Streaming & Screen Share,"Visit website
support@evolly.app
Privacy Policy
29 Nguyen Phuoc Lan, Hoa Xuan, Cam Le, Da Nang, Vietnam",Tools,"₹75.00 - ₹1,950.00 per item",In-App Purchases,"['June', '6', '', '2020']","Rated for 3+
Learn More","100,000+",711,EVOLLY.APP,3.4,4.1 and up,16.0,1.0,75.0,1950.0,3,6,6,2020,100000,4.1,3
Club Factory - Online Shopping App,"Visit website
info@clubfactory.com
Privacy Policy",Shopping,$0 - $0 per item,No Interactive Elements,"['May', '29', '', '2020']","Rated for 3+
Learn More","100,000,000+",1763091,Club Factory,3.7,4.4 and up,22.0,6.0,0.0,0.0,3,5,29,2020,100000000,4.4,0
Q Player,blappv@gmail.com,Entertainment,$0 - $0 per item,No Interactive Elements,"['May', '13', '', '2020']","Rated for 3+
Learn More","50,000+",80,BoyzLuv Lab,4.3,4.1 and up,2.5,2.0,0.0,0.0,3,5,13,2020,50000,4.1,0
"WPS Office - Free Office Suite for Word,PDF,Excel","Visit website
feedback@wps.com
Privacy Policy
Unit 1309A, 13/F, Cable TV Tower, No. 9 Hoi Shing Road, Tsuen Wan, N.T., Hong Kong",Productivity,"₹10.00 - ₹26,000.00 per item","Users Interact, In-App Purchases","['June', '24', '', '2020']","Rated for 3+
Learn More","100,000,000+",2028336,Kingsoft Office Software Corporation Limited,4.2,5.0 and up,-1.0,12.0,10.0,26000.0,3,6,24,2020,100000000,5.0,4
WPS Office Lite,"Visit website
mofficesupport@kingsoft.com
Privacy Policy
Unit 1309A, 13/F, Cable TV Tower, No. 9 Hoi Shing Road, Tsuen Wan, N.T., Hong Kong",Productivity,"₹29.99 - ₹6,800.00 per item",No Interactive Elements,"['May', '23', '', '2020']","Rated for 3+
Learn More","50,000,000+",185417,Kingsoft Office Software Corporation Limited,4.2,5.0 and up,65.0,12.0,29.99,6800.0,3,5,23,2020,50000000,5.0,0
"Xender - Share Music&Video,Status Saver,Transfer","Visit website
service@xender.com
Privacy Policy
Room 503, 5/F, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan, Hong Kong",Tools,$0 - $0 per item,No Interactive Elements,"['June', '15', '', '2020']","Rated for 3+
Learn More","100,000,000+",2761277,Xender File Sharing Team,4.0,Varies with device,-1.0,-1.0,0.0,0.0,3,6,15,2020,100000000,-1,0
J Chemistry (NET/GATE),"april2019@classplus.co
Privacy Policy",Education,$0 - $0 per item,Users Interact,"['June', '25', '', '2020']","Rated for 3+
Learn More","10,000+",522,Education A19-Media,4.4,4.2 and up,30.0,1.0,0.0,0.0,3,6,25,2020,10000,4.2,1
Brainly – The Homework App,"Visit website
support-android@brainly.com
Privacy Policy
379 W. Broadway, New York, NY 10012, United States",Education,$0 - $0 per item,Users Interact,"['June', '22', '', '2020']","Rated for 3+
Learn More","10,000,000+",665766,"Brainly, Inc",4.6,5.0 and up,7.7,5.0,0.0,0.0,3,6,22,2020,10000000,5.0,1
G-Centrick,"support@classplus.co
Privacy Policy",Education,$0 - $0 per item,Users Interact,"['May', '28', '', '2020']","Rated for 3+
Learn More","5,000+",516,Education Galaxy Media,4.5,4.2 and up,30.0,1.0,0.0,0.0,3,5,28,2020,5000,4.2,1
J & B CAREER POINT,"support@classplus.co
Privacy Policy",Education,$0 - $0 per item,Users Interact,"['June', '25', '', '2020']","Rated for 3+
Learn More",100+,23,Education Kevin Media,4.8,4.2 and up,29.0,1.0,0.0,0.0,3,6,25,2020,100,4.2,1
K-SECRET,"Visit website
contact@aj-int.com
Privacy Policy",Shopping,$0 - $0 per item,No Interactive Elements,"['May', '26', '', '2020']","Rated for 3+
Learn More","10,000+",32,K-SECRET Co.,3.9,5.0 and up,16.0,1.0,0.0,0.0,3,5,26,2020,10000,5.0,0
HSPA+ Tweaker (3G booster),"Visit website
admin@brothers-rovers.ru
Russian Federation, Baymak, Checkmareva, 1, 4",Tools,₹160.00 per item,Digital Purchases,"['December', '5', '', '2017']","Rated for 3+
Learn More","5,000,000+",112926,Brothers Rovers,4.0,2.3 and up,3.9,3.0,160.0,160.0,3,12,5,2017,5000000,2.3,2
350+ C Programming Examples,lingarajtechhub@gmail.com,Education,$0 - $0 per item,No Interactive Elements,"['October', '22', '', '2018']","Rated for 3+
Learn More","10,000+",72,LINGARAJ SENAPATI,4.5,5.0 and up,5.4,3.0,0.0,0.0,3,10,22,2018,10000,5.0,0
D Letter Wallpaper,"Visit website
noblenatalien@gmail.com",Personalization,$0 - $0 per item,No Interactive Elements,"['December', '30', '', '2019']","Rated for 3+
Learn More","5,000+",23,CreativeDesigns,4.4,4.1 and up,3.4,2.0,0.0,0.0,3,12,30,2019,5000,4.1,0
M Letter Wallpaper,"Visit website
noblenatalien@gmail.com",Art & Design,$0 - $0 per item,No Interactive Elements,"['January', '4', '', '2020']","Rated for 3+
Learn More","10,000+",46,CreativeDesigns,3.8,4.1 and up,3.5,1.0,0.0,0.0,3,1,4,2020,10000,4.1,0
R Letter Wallpaper,"Visit website
noblenatalien@gmail.com",Personalization,$0 - $0 per item,No Interactive Elements,"['January', '1', '', '2020']","Rated for 3+
Learn More","10,000+",54,CreativeDesigns,4.3,4.1 and up,3.5,3.0,0.0,0.0,3,1,1,2020,10000,4.1,0
S Letter Wallpaper,"Visit website
noblenatalien@gmail.com",Art & Design,$0 - $0 per item,No Interactive Elements,"['December', '30', '', '2019']","Rated for 3+
Learn More","10,000+",78,CreativeDesigns,4.1,4.1 and up,3.5,2.0,0.0,0.0,3,12,30,2019,10000,4.1,0
Hello English: Learn English,"Visit website
contact@culturealley.com
Privacy Policy
Intap Labs Pvt Ltd. S.B. One, J.L.N. Marg, Bapu Nagar, Jaipur 302015 India",Education,"₹10.00 - ₹21,600.00 per item",Digital Purchases,"['June', '26', '', '2020']","Rated for 3+
Learn More","10,000,000+",880730,Culture Alley,4.6,Varies with device,-1.0,-1.0,10.0,21600.0,3,6,26,2020,10000000,-1,2
Red Ball 4,"Visit website
support@fdg-entertainment.com
Privacy Policy
Romanstr. 7-9 80639 Munich",Arcade,₹120.00 per item,No Interactive Elements,"['June', '26', '', '2020']","Rated for 3+
Learn More","100,000,000+",2030774,FDG Entertainment GmbH & Co.KG,4.4,4.1 and up,53.0,1.0,120.0,120.0,3,6,26,2020,100000000,4.1,0
R Programming Tutorial,"nitin77.prajapati@gmail.com
Privacy Policy
Bvn",Education,$0 - $0 per item,No Interactive Elements,"['February', '24', '', '2020']","Rated for 3+
Learn More",100+,0,Health Fitness and Tutorials,-1.0,4.0 and up,2.8,1.0,0.0,0.0,3,2,24,2020,100,4.0,0
Smiling-X Corp: Escape from the Horror Studio,"Visit website
media@indiefist.com
Privacy Policy
46006 Valencia",Arcade,₹110.00 - ₹320.00 per item,In-Game Purchases,"['April', '25', '', '2020']","Rated for 12+
Horror
Learn More","1,000,000+",9114,IndieFist,4.0,4.4 and up,53.0,1.0,110.0,320.0,12,4,25,2020,1000000,4.4,3
Smiling-X 2: The Resistance survival in subway.,"Visit website
media@indiefist.com
Privacy Policy
46006 Valencia",Arcade,₹240.00 - ₹340.00 per item,In-Game Purchases,"['June', '13', '', '2020']","Rated for 7+
Mild Violence, Fear
Learn More","100,000+",2171,IndieFist,4.3,4.4 and up,90.0,1.0,240.0,340.0,7,6,13,2020,100000,4.4,3
Z Nation,"massivegamestudio0806@gmail.com
Ilsandong-gu, Goyang-si, Gyeonggi-do, Republic of Korea",Action,"₹70.00 - ₹2,150.00 per item",No Interactive Elements,"['December', '22', '', '2019']","Rated for 7+
Mild Violence, Fear
Learn More","1,000+",10,Massive Game S,2.1,5.0 and up,36.0,2.0,70.0,2150.0,7,12,22,2019,1000,5.0,0
M-Tutor,"Visit website
support@m-tutor.com
Privacy Policy
No. 12, AH Block 3rd Street Anna Nagar, Chennai -600040 India",Education,$0 - $0 per item,No Interactive Elements,"['June', '17', '', '2020']","Rated for 3+
Learn More","10,000+",773,Mobile Tutor Pvt Ltd,2.5,6.0 and up,20.0,3.0,0.0,0.0,3,6,17,2020,10000,6.0,0
Fantastic Chefs: Match 'n Cook,"Visit website
support@99games.in
Privacy Policy
Door No. 3-62B, First Floor, Robosoft Campus, 217, NH 66, Santhekatte, Udupi - 576105",Puzzle,"₹19.00 - ₹19,999.00 per item",Digital Purchases,"['April', '3', '', '2019']","Rated for 3+
Learn More","1,000,000+",25873,99Games,4.6,4.1 and up,94.0,1.0,19.0,19999.0,3,4,3,2019,1000000,4.1,2
Offroad Car Q,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Simulation,$0 - $0 per item,No Interactive Elements,"['August', '4', '', '2016']","Rated for 3+
Learn More","5,000,000+",27477,Oppana Games,4.1,2.3.3 and up,40.0,1.0,0.0,0.0,3,8,4,2016,5000000,2.3.3,0
Offroad Car X,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Simulation,$0 - $0 per item,No Interactive Elements,"['November', '16', '', '2016']","Rated for 3+
Learn More","1,000,000+",12283,Oppana Games,4.0,2.3.3 and up,80.0,2.0,0.0,0.0,3,11,16,2016,1000000,2.3.3,0
Gt-r Car Simulator,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Simulation,"₹75.00 - ₹6,400.00 per item","Users Interact, In-Game Purchases","['March', '25', '', '2020']","Rated for 16+
Strong Violence
Learn More","1,000,000+",5206,Oppana Games,4.1,4.1 and up,89.0,1.0,75.0,6400.0,16,3,25,2020,1000000,4.1,4
Offroad G-Class,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Simulation,"₹80.00 - ₹13,100.00 per item",Digital Purchases,"['April', '8', '', '2020']","Rated for 3+
Learn More","5,000,000+",33367,Oppana Games,4.2,4.1 and up,84.0,1.0,80.0,13100.0,3,4,8,2020,5000000,4.1,2
Offroad Car G,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Simulation,$0 - $0 per item,No Interactive Elements,"['July', '12', '', '2016']","Rated for 3+
Learn More","10,000,000+",76300,Oppana Games,4.1,2.3.3 and up,37.0,1.0,0.0,0.0,3,7,12,2016,10000000,2.3.3,0
Offroad Car H,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Simulation,"₹70.00 - ₹7,400.00 per item",Digital Purchases,"['October', '6', '', '2017']","Rated for 3+
Learn More","500,000+",2512,Oppana Games,3.7,2.3 and up,87.0,1.0,70.0,7400.0,3,10,6,2017,500000,2.3,2
Offroad Pickup Truck F,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Simulation,"₹65.00 - ₹11,800.00 per item",Digital Purchases,"['January', '22', '', '2020']","Rated for 3+
Learn More","1,000,000+",7787,Oppana Games,3.9,4.1 and up,59.0,1.0,65.0,11800.0,3,1,22,2020,1000000,4.1,2
Offroad Pickup Truck R,"Visit website
oppanagames@gmail.com
Privacy Policy
630015, Dzerzhinskoko 1/1",Simulation,"₹65.00 - ₹9,800.00 per item",Digital Purchases,"['July', '14', '', '2017']","Rated for 3+
Learn More","1,000,000+",7414,Oppana Games,4.0,2.3 and up,96.0,1.0,65.0,9800.0,3,7,14,2017,1000000,2.3,2
Awareness by J.Krishnamurti,"Visit website
admin@ipal0.win
Ontario, Canada",Books & Reference,$0 - $0 per item,No Interactive Elements,"['March', '13', '', '2018']","Rated for 3+
Learn More","5,000+",82,Pal,4.6,4.0.3 and up,2.1,5.0,0.0,0.0,3,3,13,2018,5000,4.0.3,0
Kids Broken Party,"Visit website
hippo.kidsgames@gmail.com
Privacy Policy
Paphos Cyprus",Education,₹150.00 per item,No Interactive Elements,"['June', '12', '', '2020']","Rated for 3+
Learn More","1,000,000+",2587,Hippo Kids Games,4.4,4.2 and up,54.0,1.0,150.0,150.0,3,6,12,2020,1000000,4.2,0
GT-R R35 Drift Simulator,"Visit website
support@processgames.org
Privacy Policy
İstanbul/Turkey",Simulation,$0 - $0 per item,No Interactive Elements,"['December', '17', '', '2019']","Rated for 3+
Learn More","500,000+",2797,Process Games,3.8,4.1 and up,54.0,1.0,0.0,0.0,3,12,17,2019,500000,4.1,0
"Pi Music Player - Free Music Player, YouTube Music","Visit website
support@100pilabs.com
Privacy Policy
No. 2283, Ground Floor, 14th A Main, HAL 2nd Stage, Bangalore, India",Music & Audio,₹25.00 - ₹69.00 per item,"Users Interact, In-App Purchases","['June', '18', '', '2020']","Rated for 12+
Violence, Mild Swearing
Learn More","10,000,000+",1025896,Musicophilia - Free Music Apps,4.8,Varies with device,-1.0,-1.0,25.0,69.0,12,6,18,2020,10000000,-1,4
Ice Cream Inc.,"contact@tap-nation.io
Privacy Policy
9 rue anatole de la forge, 75017 Paris",Casual,₹320.00 per item,In-Game Purchases,"['January', '31', '', '2020']","Rated for 3+
Learn More","10,000,000+",144667,TapNation,4.0,5.0 and up,79.0,1.0,320.0,320.0,3,1,31,2020,10000000,5.0,3
S Letter Wallpaper,"wallpapercutez@gmail.com
Privacy Policy",Lifestyle,$0 - $0 per item,Users Interact,"['October', '28', '', '2019']","Rated for 3+
Learn More","100,000+",81,Wallpaper Cutez,4.5,4.1 and up,3.6,1.0,0.0,0.0,3,10,28,2019,100000,4.1,1
歡唱K歌王 - 練歌聽歌神器,"Visit website
lineupdesignhouse@gmail.com
Privacy Policy",Video Players & Editors,$0 - $0 per item,No Interactive Elements,"['May', '29', '', '2020']","Rated for 3+
Learn More","1,000,000+",14830,Line up Design House,4.5,4.0 and up,19.0,9.0,0.0,0.0,3,5,29,2020,1000000,4.0,0
"S Letter DP - Wallpapers , Images And Photos","shanikumarsagar97@gmail.com
Privacy Policy",Art & Design,$0 - $0 per item,No Interactive Elements,"['June', '22', '', '2020']","Rated for 3+
Learn More","10,000+",10,Sagar Zone,3.9,5.0 and up,8.0,1.0,0.0,0.0,3,6,22,2020,10000,5.0,0
"UC Browser- Free & Fast Video Downloader, News App","Visit website
help@idc.ucweb.com
Privacy Policy",Communication,$0 - $0 per item,Unrestricted Internet,"['June', '24', '', '2020']","Rated for 12+
Sex
Learn More","500,000,000+",21535519,UCWeb Singapore Pte. Ltd.,3.9,4.0 and up,-1.0,-1.0,0.0,0.0,12,6,24,2020,500000000,4.0,5
X PLAYER,"javedkhankhastech@gmail.com
House Nof176 T & T Colony Haripur",Entertainment,$0 - $0 per item,No Interactive Elements,"['June', '20', '', '2020']","Rated for 3+
Learn More","100,000+",492,XpooSoft-I,4.4,4.2 and up,4.5,7.0,0.0,0.0,3,6,20,2020,100000,4.2,0
Aaj Tak News – AajTak Live TV,"Visit website
indiatodayapps@gmail.com
Privacy Policy
FC-8, Sector-16A Film City, Noida, Uttar Pradesh 201301",News & Magazines,$0 - $0 per item,No Interactive Elements,"['January', '10', '', '2019']","Rated for 3+
Learn More","100,000+",0,TV Today Network Limited,-1.0,5.0 and up,14.0,4.0,0.0,0.0,3,1,10,2019,100000,5.0,0
J. Balvin High Quality Songs = Listen Offline,abdapp70@gmail.com,Music & Audio,$0 - $0 per item,No Interactive Elements,"['March', '5', '', '2020']","Rated for 16+
Strong Language
Learn More",50+,0,abdapp,-1.0,4.1 and up,31.0,1.0,0.0,0.0,16,3,5,2020,50,4.1,0
"H-app-Y, Health App For You","Visit website
adityabirlahealth@gmail.com
Privacy Policy",Business,$0 - $0 per item,No Interactive Elements,"['June', '10', '', '2020']","Rated for 3+
Learn More","10,000+",225,Aditya Birla Health,3.6,4.4 and up,74.0,1.0,0.0,0.0,3,6,10,2020,10000,4.4,0
Adobe Lightroom - Photo Editor & Pro Camera,"Visit website
LrAndroid-Feedback@adobe.com
Privacy Policy
Adobe Systems Incorporated 345 Park Avenue San Jose, CA 95110-2704",Photography,"₹170.00 - ₹4,950.00 per item","Users Interact, Digital Purchases","['June', '15', '', '2020']","Rated for 3+
Learn More","100,000,000+",678126,Adobe,4.4,5.0 and up,-1.0,5.0,170.0,4950.0,3,6,15,2020,100000000,5.0,3
"Adobe Acrobat Reader: PDF Viewer, Editor & Creator","Visit website
acrobat-android-support@adobe.com
Privacy Policy
Adobe Systems Incorporated 345 Park Avenue San Jose, CA 95110-2704",Productivity,"₹119.59 - ₹6,043.90 per item",Digital Purchases,"['June', '25', '', '2020']","Rated for 3+
Learn More","500,000,000+",3845199,Adobe,4.6,5.0 and up,218.0,20.0,119.59,6043.9,3,6,25,2020,500000000,5.0,2
SketchBook - draw and paint,"Visit website
sketchbook.help@autodesk.com
Privacy Policy
111 McInnis Parkway San Rafael, California 94903",Entertainment,$0 - $0 per item,Digital Purchases,"['March', '16', '', '2020']","Rated for 3+
Learn More","10,000,000+",357954,Autodesk Inc.,4.2,Varies with device,-1.0,-1.0,0.0,0.0,3,3,16,2020,10000000,-1,2
"VFly-Status Videos, Status Maker, New Video Status","Visit website
vflyteam@gmail.com
Privacy Policy
23rd Floor - Floor 39, Building B-1, Wanda Plaza, No. 368 Xingnan Road, Panyu District, Guangzhou",Tools,"₹220.00 - ₹24,900.00 per item",No Interactive Elements,"['June', '23', '', '2020']","Rated for 12+
Sexual Innuendo
Learn More","10,000,000+",50084,Vflyteam,4.1,4.4 and up,-1.0,3.0,220.0,24900.0,12,6,23,2020,10000000,4.4,0
Extreme Car Driving Simulator,"Visit website
support@axesinmotion.com
Privacy Policy
Horizonte, 1, 2nd floor 41927 Mairena del Aljarafe Sevilla, ESPAÑA",Racing,"₹50.00 - ₹7,500.00 per item",Digital Purchases,"['June', '8', '', '2020']","Rated for 3+
Learn More","100,000,000+",3033286,AxesInMotion Racing,4.2,4.1 and up,53.0,-1.0,50.0,7500.0,3,6,8,2020,100000000,4.1,2
"Dainik Bhaskar: Hindi Epaper, Local & Video News","Visit website
dainikapp@dainikbhaskar.com
Privacy Policy
Dwarka Sadan, 6 Press Complex, M.P. Nagar, Zone-1, Bhopal, Madhya Pradesh.",News & Magazines,$0 - $0 per item,Users Interact,"['June', '26', '', '2020']","Rated for 3+
Learn More","10,000,000+",210413,Dainik Bhaskar Group,4.1,5.0 and up,6.1,7.0,0.0,0.0,3,6,26,2020,10000000,5.0,1
